Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
"The prevalence of Mycoplasma genitalium and association with HIV infection in symptomatic patients, Johannesburg, South Africa, 2007-2014.",Mahlangu MP.; Müller EE.; Venter JM.; Maseko DV.; Kularatne RS.,"Mycoplasma genitalium is associated with genital discharge syndrome, but limited prevalence data is available in South Africa. The prevalence rates of M. genitalium infection and HIV co-infection were determined in urogenital specimens collected from male and female patients presenting with genital discharge syndrome to a primary health care centre in Johannesburg, South Africa from 2007 through 2014. Genital specimens from 4731 patients were tested by a validated in-house multiplex real-time PCR assay for the detection of Neisseria gonorrhoeae, Chlamydia trachomatis, Trichomonas vaginalis and M. genitalium. Sera were tested for HIV infection using the Determine™ HIV 1/2 and Unigold™ assays. The relative prevalence of M. genitalium in males and females was 8.9% and 10.6%, respectively. The prevalence of HIV infection in those infected with M. genitalium, without other sexually transmitted infections (STIs), was significantly higher than in those without M. genitalium infection (48.9% v 40.5%, p=0.014). This significant difference in HIV seroprevalence was particularly observed among females in the study cohort. The relative prevalence of M. genitalium and its association with prevalent HIV among females with vaginal discharge syndrome (VDS) calls for further research on the potential role of M. genitalium in the transmission and acquisition of HIV.This is an open-access article distributed under the terms of the Creative Commons Attribution-Non Commercial-No Derivatives License 4.0 (CCBY-NC-ND), where it is permissible to download and share the work provided it is properly cited. The work cannot be changed in any way or used commercially without permission from the journal.",2019,Feb,Sexually transmitted diseases,,,,,10.1097/OLQ.0000000000000984,30762718,#1379,Mahlangu 2019,Exclusion reason: 1. Duplicate; ,""
"Detection of trichomonas vaginalis in HIV positive women in Pretoria, South Africa",Kock M.; Rukasha I.; Dijkmans A.; Hoosen A.,"Background: The aim of this study was to detect Trichomonas vaginalis infection in HIV positive women receiving anti-retroviral therapy in Pretoria, South Africa. Methods: Self-collected vaginal swab specimens from 95 consecutive patients attending the anti-retroviral clinic (Tshwane District Hospital) were analysed. Trichomonas vaginalis was diagnosed by wet mount microscopy, culture using InPouch and a commercial PCR assay targeting the DNA repeat units. Trichomoniasis was diagnosed if any test was positive. Results: Five (5.3%) of the 95 specimens were positive by wet mount microscopy, 21 (22.1%) were culture positive and 28 (29.5%) were detected by PCR. All culture and wet mount positive specimens were PCR positive. The sensitivity and specificity of wet mount microscopy compared to culture were 23.8% and 98.7% respectively. PCR detected seven additional positive specimens than culture. The specificity of PCR compared to culture was 100%, with a sensitivity of 90.5%. The prevalence of T vaginalis was found to be 29.5% in this study. Conclusions: Previous studies in South Africa focused on the prevalence of trichomoniasis in pregnant women and women without HIV status and from lower socio-economic groups. This is the first report in HIV positive women receiving ARV treatment. There was a high prevalence (29.5%) of T vaginalis in this group. This is similar to that reported from Nigeria (24.4%) and Ivory Coast (27.0%), whilst the rate reported in Congolese (18.6%) HIV positive women was lower. Using microscopy alone for the diagnosis of trichomoniasis as is the current practice in most laboratories in South Africa is inadequate and leads to missed infections.",2011,,Sexually Transmitted Infections,87,"(Dijkmans A.) University of Leiden, Netherlands",A301,,10.1136/sextrans-2011-050108.490,,#3228,Kock 2011,Exclusion reason: 2. Data overlap with other study; ,""
Sexual Behaviors of Human Immunodeficiency Virus-Infected Pregnant Women and Factors Associated With Sexually Transmitted Infection in South Africa.,Joseph Davey D.; Peters RPH.; Kojima N.; Mudau M.; De Vos L.; Olivier D.; McIntyre JA.; Klausner JD.; Medina-Marino A.,"Sexual behaviors in human immunodeficiency virus (HIV)-infected pregnant women in South Africa are not well understood. Human immunodeficiency virus-infected pregnant women were recruited into a prospective cohort at first antenatal care visit. Sociodemographic information and self-collected vulvovaginal swab samples were collected from participants. Vulvovaginal swab samples were tested for Chlamydia trachomatis, Neisseria gonorrhoea, and Trichomonas vaginalis using GeneXpert. We investigated sexual behaviors, alcohol use, factors associated with condomless sex during pregnancy, and prevalent sexually transmitted infection (STI) among our cohort. We report descriptive, univariate and multivariable logistic regression results of sexual behaviors and alcohol use, factors associated with condomless sex at last sex, and having any STI during pregnancy adjusting for a priori confounders. We recruited and enrolled 430 HIV-infected pregnant women. Median age was 30 years; median gestational age was 20 weeks. Eighty-nine percent of women reported sex during pregnancy. At last sex, 68% reported condomless sex; 18% reported having more than 1 sex partner in the past 12 months. Adjusting for age, income and relationship status, condom use at last sex was associated with prior knowledge of HIV status (adjusted odds ratio [aOR], 2.46; 95% confidence interval [CI], 1.54-3.92) and being in a concordant HIV-positive (aOR, 3.17; 95% CI, 1.84-5.50), or serodiscordant relationship (aOR, 6.50; 95% CI, 3.59-11.80). The prevalence of any STI was 41% (95% CI, 36%-45%). Adjusting for mothers' age and employment, odds of having an STI increased if the woman reported alcohol use during pregnancy (aOR, 1.96; 95% CI, 1.06-3.64) or if the father of the child was a non-cohabiting or casual partner (aOR, 1.42; 95% CI, 0.97-2.03). Almost all HIV-infected pregnant women were sexually active during pregnancy and most women reported condomless sex at last sex. Condom use was associated with knowledge of serostatus and/or partner's serostatus before first antenatal care visit. Factors associated with having STIs included: alcohol use during pregnancy and father of child being a non-cohabiting partner.",2018,11,Sexually transmitted diseases,45,11,754-761,,10.1097/OLQ.0000000000000847,30303949,#1970,JosephDavey 2018,Exclusion reason: 2. Data overlap with other study; ,""
Association of Bacterial vaginosis and other Sexually Transmitted Infections with HIV among pregnant women in Nigeria.,Imade GE.; Musa J.; Sagay AS.; Kapiga SH.; Sankale JL.; Idoko J.; Kanki P.,"To determine the association of Bacterial vaginosis (BV) and other sexually transmissible infections (STIs) with HIV prevalence among pregnant women in Jos, Nigeria. This was a cross- sectional study of pregnant women who participated in the Prevention of Mother-to-Child Transmission of HIV program of the AIDS Prevention Initiative in Nigeria, between April 2002 and July 2004, at the Jos University Teaching Hospital in Jos, Nigeria. Blood, high vaginal and endocervical samples were obtained for diagnosis of HIV, BV and other STIs. Data were analyzed for prevalence of HIV, BV and other STIs. Univariate and multivariate logistic regression models generated unadjusted and adjusted odds ratios (OR) as well as 95% confidence intervals (CI) of the association of BV and other STIs with HIV prevalence. P value <0.05 was considered statistically significant. A total of 4,046 pregnant women were studied and 97.6% (3,950/4,046) had complete laboratory records for analysis. The prevalence of HIV was 8.2% (CI: 7.4-9.1); BV 11.9% (CI: 10.9-12.9); Candida 10.7% (CI: 9.7-11.7); mixed infection of BV and Candida 2.8% (CI: 2.3-3.4); Trichomonads 0.6% (CI: 0.3-0.8) and syphilis 0.35% (0.16-0.54). BV, Candida, mixed BV and Candida; and Trichomonads were independently associated with HIV infection [adjusted OR (95% CI), 2.9 (CI: 2.2-3.9); 2.0 (CI: 1.5-2.9); 3.4 (CI: 2.0-5.6), and 3.3 (CI: 1.1-9.7) respectively]. HIV prevalence is higher among pregnant women who have BV, Candida and Trichomonads vaginal infections compared with women who have no evidence of infection. The practice of routine screening for BV and other STIs among pregnant women as a strategy for identifying women at risk for prevalent HIV infection should be sustained/ encouraged and the syndromic management of STIs should be integrated into all antenatal care management protocols in antenatal clinics in order to curb the epidemic of heterosexual HIV transmission.",2014,Sep,African journal of medicine and medical sciences,43,Suppl 1,23-28,,,26681823,#216,Imade 2014,Exclusion reason: 2. Data overlap with other study; ,""
Genital infections and syndromic diagnosis among HIV-infected women in HIV care programmes in Kenya.,Djomand G.; Gao H.; Singa B.; Hornston S.; Bennett E.; Odek J.; McClelland RS.; John-Stewart G.; Bock N.,"Control of genital infections remains challenging in most regions. Despite advocacy by the World Health Organization for syndromic case management, there are limited data on the syndromic approach, especially in HIV care settings. This study compared the syndromic approach with laboratory diagnosis among women in HIV care in Kenya. A mobile team visited 39 large HIV care programmes in Kenya and enrolled participants using population-proportionate sampling. Participants provided behavioural and clinical data with genital and blood specimens for lab testing. Among 1063 women, 68.4% had been on antiretroviral therapy >1 year; 58.9% were using cotrimoxazole prophylaxis; 51 % had CD4+T-lymphocytes < 350 cells/µL. Most women (63.1%) reported at least one genital symptom. Clinical signs were found in 63% of women; and 30.8% had an aetiological diagnosis. Bacterial vaginosis (17.4%), vaginal candidiasis (10.6%) and trichomoniasis (10.5%) were the most common diagnoses. Using laboratory diagnoses as gold standard, sensitivity and positive predictive value of the syndromic diagnosis for vaginal discharge were 47.6% and 52.7%, respectively, indicating a substantial amount of overtreatment. A systematic physical examination increased by 9.3% the positive predictive value for genital ulcer disease. Women attending HIV care programmes in Kenya have high rates of vaginal infections. Syndromic diagnosis was a poor predictor of those infections.",2016,Jan,International journal of STD & AIDS,27,1,19-24,,10.1177/0956462415568982,25614522,#1842,Djomand 2016,Exclusion reason: 8. STI data inappropriate or missing; ,""
"HIV-infected women of Burkina Faso: A ""reservoir"" of mycoplasma infection",Djigma F.; Ouedraogo C.; Sagna T.; Ouermi D.; Sanogo K.; Bisseye C.; Kabre A.; Pietra V.; Simpore J.; Nikiema J.-B.; Musumeci S.,"Introduction: The objective of this work was to assess the prevalence of bacterial vaginosis (BV) and genital mycoplasma colonization in 251 HIV-positive compared to 200 HIV-negative women at the Maternal and Child Health (MCH) service of Saint Camille Medical Center Ouagadougou (Burkina Faso). Methodology: After revealing the cervix with a speculum, we collected swabs of vaginal discharge for the detection of pathogenic bacteria. Results: Among HIV-positive and HIV-negative women, we identified respectively: Mycoplasma hominis (16.7% versus 5.5%); Ureaplasma urealyticum (16.3% versus 0.0%); co-infection M. hominis with U. urealyticum (13.14% versus 0.0%); Candida albicans (21.11% versus 41.5%); E. coli (9.96% versus 4.0%); and the presence of abundant vaginal discharge (27.5% versus 5.0%) respectively. The Nugent's score, utilized for the diagnosis of BV, was significantly higher in HIV-positive women (p < 0.001) associated with poor vaginal hygiene practices (p < 0.01) and no use of condoms (p < 0.01). Enterobacter, Klebsiella pneumonia, Klebsiella oxitocica, Staphylococcus epidermidis and Staphylococcus aureus, Streptococcus agalactiae, Trichomonas vaginalis, and Gardnerella vaginalis were also isolated, but in a low prevalence ranging from 0% to 5%. Conclusion: These results demonstrate that the HIV-positive women of Burkina Faso are frequently affected by BV and represent a reservoir for mycoplasma infection. Since these germs can lead to sterility and premature delivery, it is important to develop a policy of screening. © 2011 Djigma et al.",2011,,Journal of Infection in Developing Countries,5,3,176-181,,,,#3148,Djigma 2011,Exclusion reason: 8. STI data inappropriate or missing; ,""
Factors associated with HIV infection in married or cohabitating couples in Kenya: results from a nationally representative study.,Kaiser R.; Bunnell R.; Hightower A.; Kim AA.; Cherutich P.; Mwangi M.; Oluoch T.; Dadabhai S.; Mureithi P.; Mugo N.; Mermin J.;  .,"In order to inform prevention programming, we analyzed HIV discordance and concordance within couples in the Kenya AIDS Indicator Survey (KAIS) 2007. KAIS was a nationally representative population-based sero-survey that examined demographic and behavioral indicators and serologic testing for HIV, HSV-2, syphilis, and CD4 cell counts in 15,853 consenting adults aged 15-64 years. We analyzed interview and blood testing data at the sexual partnership level from married or cohabitating couples. Multivariable regression models were used to identify factors independently associated with HIV discordant and concordant status. Of 3256 couples identified in the survey, 2748 (84.4%) had interview and blood testing data. Overall, 3.8% of couples were concordantly infected with HIV, and in 5.8% one partner was infected, translating to 338,000 discordant couples in Kenya. In 83.6% of HIV-infected Kenyans living in married or cohabitating couples neither partner knew their HIV status. Factors independently associated with HIV-discordance included young age in women (AOR 1.5, 95% CI: 1.2-1.8; p<0.0001), increasing number of lifetime sexual partners in women (AOR 1.5, 95% CI: 1.3-1.8; p<0.0001), HSV-2 infection in either or both partners (AOR 4.1, 95% CI: 2.3-7.2; p<0.0001), and lack of male circumcision (AOR 1.6, 95% CI: 1.0-2.5; p = 0.032). Independent factors for HIV-concordance included HSV-2 infection in both partners (AOR 6.5, 95% CI: 2.3-18.7; p = 0.001) and lack of male circumcision (AOR 1.8, 95% CI: 1.0-3.3; p = 0.043). Couple prevention interventions should begin early in relationships and include mutual knowledge of HIV status, reduction of outside sexual partners, and promotion of male circumcision among HIV-uninfected men. Mechanisms for effective prevention or suppression of HSV-2 infection are also needed.",2011,Mar,PloS one,6,3,e17842,,10.1371/journal.pone.0017842,21423615,#364,Kaiser 2011,Exclusion reason: 8. STI data inappropriate or missing; ,""
Prevalence and Antimicrobial Resistance of Mycoplasma genitalium Infection Among Women Living With Human Immunodeficiency Virus in South Africa: A Prospective Cohort Study.,Ong JJ.; Magooa MP.; Chikandiwa A.; Kelly H.; Didelot MN.; Muller EE.; Maseko V.; Segondy M.; Delany-Moretlwe S.; Kularatne R.; Mayaud P.;  .,"This prospective cohort study of 622 women living with human immunodeficiency virus (HIV) from Johannesburg (2012) detected Mycoplasma genitalium in 7.4% (95% confidence interval [CI]: 5.5-9.7, 46/622), with detection more likely with lower CD4 counts(adjusted odds ratio [AOR] 1.02 per 10 cells/μL decrease, 95% CI: 1.00-1.03) and higher plasma HIV-1 RNA (AOR 1.15 per log copies/mL increase, 95% CI: 1.03-1.27). No mutations for macrolide/quinolone resistance was detected.",2019,Aug,Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,69,5,873-876,,10.1093/cid/ciz045,30698679,#674,Ong 2019,Exclusion reason: 2. Data overlap with other study; ,""
Prevalence of HIV among women with vaginal discharge in a gynecological clinic.,Anorlu R.; Imosemi D.; Odunukwe N.; Abudu O.; Otuonye M.,"Vaginal discharge is a common complaint among women with sexually transmitted diseases (STDs) in Nigeria. Given the association between STDs and HIV and the alarming rise in the prevalence of HIV in Nigeria, we performed this study to determine the prevalence of HIV in patients with vaginal discharge. Between April 2000 and August 2000, women who attended the Lagos University Teaching Hospital and complained of vaginal discharge were adequately counseled for HIV serotest. High vaginal/endocervical swabs and venous blood were taken for microbiological studies and HIV serotest, respectively. Out of the 230 women counseled for HIV serotest 140 (60.9%) consented. The mean age of the 140 was 31.1+/-6.9 years (range 18-50 years). In 31 (22.1%), Candida albicans was isolated, in 26 Gardnerella vaginalis (18.8%), in 17 Staphylococcal spp. (12.1%); and E. coli, Trichomonas vaginalis, and Neisseria gonococcus in 7.9%, 4.3%, and 1.4%, respectively. Four (2.9%) of the 140 patients were HIV seropositive, and all had Candida albicans isolated. The prevalence of HIV among patients with Candida albicans was 12.9%. Association between HIV seropositivity and Candida albicans infection is significant (X2=14.48; p=0.002). Candida albicans is a common cause of vaginal discharge among HIV-seropositive women in Lagos.",2004,Mar,Journal of the National Medical Association,96,3,367-71,,,15040519,#248,Anorlu 2004,Exclusion reason: 5. Incorrect population; ,""
Contraceptive use and prevalence of sexually transmitted infections among women seeking termination of pregnancy at a district hospital in kwazulu-natal,Muruya S.; Sebitloane H.,"Termination of pregnancy (TOP) is one of the components of female reproductive health and rights that are freely available in South Africa within the public health system, and yet unwanted pregnancies still remain a challenge. The objectives of this study were to determine the level of knowledge and use of contraceptive methods among women seeking TOP services and to evaluate the prevalence of human immunodeficiency virus (HIV) and other sexually transmitted infections in this group of women. This population-based study was conducted at Northdale Hospital in KwaZulu-Natal. Four hundred and ninety-seven women seeking TOP were interviewed over a period of six months, using a structured questionnaire. The mean age of the women was 25 years. The majority of the participants were black Africans (n = 424, 85.3%,) and single (n = 423, 85%), respectively. Most participants (n = 354, 71%) were unemployed, having obtained a secondary school education level. The majority (n = 420, 84.5%) indicated that they had previously used some form of contraception. However, condom use was used by only 18% (n = 78). The HIV prevalence among women requesting TOP was 39%. Nearly half of the participants (45.9%) had abnormal vaginal discharge and 50% of those who had tested for syphilis received an abnormal result. This study reinforces the need to intensify sexual and reproductive health programmes among women seeking TOP.",2013,,Southern African Journal of Epidemiology and Infection,28,3,172-176,,,,#4215,Muruya 2013,Exclusion reason: 8. STI data inappropriate or missing; ,""
Increased interleukin-10 in the the endocervical secretions of women with non-ulcerative sexually transmitted diseases: a mechanism for enhanced HIV-1 transmission?,Cohen CR.; Plummer FA.; Mugo N.; Maclean I.; Shen C.; Bukusi EA.; Irungu E.; Sinei S.; Bwayo J.; Brunham RC.,"Although non-ulcerative sexually transmitted diseases (STD) and bacterial vaginosis are implicated as cofactors in heterosexual HIV-1 transmission, the mechanisms have not been defined. Recent in vitro data suggest that interleukin (IL)-10 may increase susceptibility of macrophages to HIV-1 infection. Therefore, we performed this study to assess whether non-ulcerative STD are associated with detection of IL-10 in the female genital tract. Women with clinical pelvic inflammatory disease with or without cervicovaginal discharge were recruited from an STD clinic in Nairobi, Kenya. Endocervical and endometrial specimens were obtained for Neisseria gonorrhoeae and Chlamydia trachomatis DNA detection, Trichonomas vaginalis culture, and CD4 and CD8 T-cell enumeration. Bacterial vaginosis was diagnosed by Gram stain. IL-10 was detected in endocervical specimens using enzyme-linked immunosorbent assay. Blood was obtained for HIV-1 serology. One hundred and seventy-two women were studied. N. gonorrhoeae, C. trachomatis, bacterial vaginosis, and T. vaginalis were detected in 38 (21%), 17 (9%), 71 (43%), and 22 (12%) women, respectively. Cervical IL-10 was detected more often in women with N. gonorrhoeae [adjusted odds ratio (AOR), 3.4; 95% confidence interval (CI), 1.4-8.4], C. trachomatis (AOR, 4.4; 95% CI, 1.2-15.6), and bacterial vaginosis (AOR, 3.1; 95% CI, 1.4-6.9) than in women without these infections. The association of non-ulcerative STD and bacterial vaginosis with increased frequency of IL-10 detection in endocervical secretions suggests a potential mechanism through which these infections may alter susceptibility to HIV-1 infection in women.",1999,Feb,"AIDS (London, England)",13,3,327-32,,10.1097/00002030-199902250-00004,10199222,#1118,Cohen 1999,Exclusion reason: 4. Incorrect setting or timing; ,""
"The epidemiology of gonorrhoea, chlamydial infection and syphilis in four African cities.",Buvé A.; Weiss HA.; Laga M.; Van Dyck E.; Musonda R.; Zekeng L.; Kahindo M.; Anagonou S.; Morison L.; Robinson NJ.; Hayes RJ.;  .,"To compare the epidemiology of gonorrhoea, chlamydial infection and syphilis in four cities in sub-Saharan Africa; two with a high prevalence of HIV infection (Kisumu, Kenya and Ndola, Zambia), and two with a relatively low HIV prevalence (Cotonou, Benin and Yaoundé, Cameroon). Cross-sectional study, using standardized methods, including a standardized questionnaire and standardized laboratory tests, in four cities in sub-Saharan Africa. In each city, a random sample of about 2000 adults aged 15-49 years was taken. Consenting men and women were interviewed about their socio-demographic characteristics and their sexual behaviour, and were tested for HIV, syphilis, herpes simplex virus type 2 (HSV-2), gonorrhoea, chlamydial infection, and (women only) Trichomonas vaginalis infection. Risk factor analyses were carried out for chlamydial infection and syphilis seroreactivity. The prevalence of gonorrhoea ranged between 0% in men in Kisumu and 2.7% in women in Yaoundé. Men and women in Yaoundé had the highest prevalence of chlamydial infection (5.9 and 9.4%, respectively). In the other cities, the prevalence of chlamydial infection ranged between 1.3% in women in Cotonou and 4.5% in women in Kisumu. In Ndola, the prevalence of syphilis seroreactivity was over 10% in both men and women; it was around 6% in Yaoundé, 3-4% in Kisumu, and 1-2% in Cotonou. Chlamydial infection was associated with rate of partner change for both men and women, and with young age for women. At the population level, the prevalence of chlamydial infection correlated well with reported rates of partner change. Positive syphilis serology was associated with rate of partner change and with HSV-2 infection. The latter association could be due to biological interaction between syphilis and HSV-2 or to residual confounding by sexual behaviour. At the population level, there was no correlation between prevalence of syphilis seroreactivity and reported rates of partner change. Differences in prevalence of chlamydial infection could be explained by differences in reported sexual behaviour, but the variations in prevalence of syphilis seroreactivity remained unexplained. More research is needed to better understand the epidemiology of sexually transmitted infections in Africa.",2001,Aug,"AIDS (London, England)",15 Suppl 4,,S79-88,,10.1097/00002030-200108004-00009,11686469,#912,Buvé 2001,Exclusion reason: 4. Incorrect setting or timing; ,""
HIV/STI risk-reduction intervention efficacy with South African adolescents over 54 months.,Jemmott JB.; Jemmott LS.; O'Leary A.; Ngwane Z.; Lewis DA.; Bellamy SL.; Icard LD.; Carty C.; Heeren GA.; Tyler JC.; Makiwane MB.; Teitelman A.,"Little research has tested HIV/sexually transmitted infection (STI) risk-reduction interventions' effects on early adolescents as they age into middle and late adolescence. This study tested whether intervention-induced reductions in unprotected intercourse during a 12-month period endured over a 54-month period and whether the intervention reduced the prevalence of STIs, which increase risk for HIV. Grade 6 learners (mean age = 12.4 years) participated in a 12-month trial in Eastern Cape Province, South Africa, in which 9 matched pairs of schools were randomly selected and within pairs randomized to a theory-based HIV/STI risk-reduction intervention or an attention-control intervention. They completed 42- and 54-month postintervention measures of unprotected intercourse (the primary outcome), other sexual behaviors, theoretical constructs, and, at 42- and 54-month follow-up only, biologically confirmed curable STIs (chlamydial infection, gonorrhea, and trichomoniasis) and herpes simplex virus 2. The HIV/STI risk-reduction intervention reduced unprotected intercourse averaged over the entire follow-up period (OR = 0.42, 95% CI [0.22, 0.84]), an effect not significantly reduced at 42- and 54-month follow-up compared with 3-, 6-, and 12-month follow-ups. The intervention caused positive changes on theoretical constructs averaged over the 5 follow-ups, although most effects weakened at long-term follow-up. Although the intervention's main effect on STIs was nonsignificant, an Intervention Condition × Time interaction revealed that it significantly reduced curable STIs at 42-month follow-up in adolescents who reported sexual experience. These results suggest that theory-based behavioral interventions with early adolescents can have long-lived effects in the context of a generalized severe HIV epidemic.",2015,Jun,"Health psychology : official journal of the Division of Health Psychology, American Psychological Association",34,6,610-21,,10.1037/hea0000140,25110841,#1709,Jemmott 2015,Exclusion reason: 5. Incorrect population; ,""
"High prevalence of obesity among women who enrolled in HIV prevention trials in KwaZulu-Natal, South Africa: healthy diet and life style messages should be integrated into HIV prevention programs.",Wand H.; Ramjee G.,"In South Africa, poverty and the dual epidemics of HIV and tuberculosis underscore the need for prevention efforts for obesity. The aim of this study was to describe the prevalence of obesity in a cohort of South African women and discuss the implications for public health practices. A total of 5,495 HIV-negative women from KwaZulu-Natal, South Africa enrolled in three microbicide trials during the period of 2002-2008 were categorised as normal weight (body mass index (BMI: 18.6-<25), overweight (BMI: 25-<30) or obese (BMI: 30+). Incidence of HIV and other sexually transmitted infections such as Chlamydia and gonorrhoea were also estimated and compared by BMI groups. Combined data was analysed using STATA 10.0. Approximately 70% of the sample population was classified as being overweight or obese. Older age and lack of education were determined to be significant predictors of obesity. Women who were 35 years or older were more than three times as likely to be overweight and more than 12 times as likely to be obese compared to the youngest group. The highest HIV and STI incidence rates were observed among those with BMI <25 kg/m(2) (normal weight) compared to women with BMI more than 25 kg/m2 (8.1 and 19.8 per 100 person-year respectively, P<0.001, both). Effective obesity prevention strategies are needed to re-formulate HIV prevention programmes by incorporating healthy diet and life style messages to target those who are at highest risk not just for HIV infection but also for non-communicable diseases.",2013,Feb,BMC public health,13,,159,,10.1186/1471-2458-13-159,23432964,#956,Wand 2013,Exclusion reason: 5. Incorrect population; ,""
